"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Correct Button","Response Time","Inter Time Interval"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Left","0","490","1","309.6710443496704","2000"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Left","0","480","1","316.5389895439148","2000"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Right","1","500","0","N/A","2000"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Right","0","540","1","314.72301483154297","2000"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Right","0","530","1","348.96498918533325","2000"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","500","0","500","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","540","1","471.7779755592346","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","530","1","458.0079913139343","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","520","1","473.0920195579529","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","500","1","473.2130169868469","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","1","460","0","N/A","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","1","500","0","N/A","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","540","1","392.1160101890564","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","530","1","423.45404624938965","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","520","1","389.45597410202026","540"
