"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Trial Type","Correct Button","Response Time","Color Pressed","Color Shown"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","860","NEUTRAL","0","N/A","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","810","CONGRUENT","1","788.7969613075256","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","800","CONGRUENT","1","771.6630101203918","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","1090","INCONGRUENT","0","N/A","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1130","INCONGRUENT","1","867.2020435333252","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","900","NEUTRAL","0","N/A","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","980","NEUTRAL","1","636.2929940223694","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","970","NEUTRAL","1","870.6279993057251","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","790","CONGRUENT","1","770.1459527015686","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1120","INCONGRUENT","1","936.5339875221252","GREEN","GREEN"
