"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Correct Selection","Same Face","Response Time","Time Interval"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","765.0840282440186","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","801.9179701805115","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","616.4610385894775","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","793.1529879570007","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","726.7820239067078","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","776.4430046081543","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","626.9499659538269","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","723.2739925384521","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","637.4179720878601","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","734.77703332901","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","692.1949982643127","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","1","643.0960297584534","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","842.1289920806885","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","No Distraction",,"0","1","0","693.5740113258362","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","1","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","1","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","0","1","1288.8889908790588","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","0","0","849.990963935852","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","0","1","783.499002456665","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","1","1","970.641016960144","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","1","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","1","1","915.1489734649658","5000"
